bus id,date,fuel type,outage end,outage start,unit name,unit size,zone
110753,2020-10-10,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT3,203,LZ_HOUSTON
110753,2020-10-11,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT3,203,LZ_HOUSTON
110753,2020-10-12,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT3,203,LZ_HOUSTON
110753,2020-10-13,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT3,203,LZ_HOUSTON
110754,2020-10-15,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT4,215,LZ_HOUSTON
110754,2020-10-10,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT4,215,LZ_HOUSTON
110754,2020-10-11,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT4,215,LZ_HOUSTON
110754,2020-10-12,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT4,215,LZ_HOUSTON
110754,2020-10-13,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER GT4,215,LZ_HOUSTON
110755,2020-10-15,NG,10/22/2020 0:00,10/9/2020 0:00,DEER PARK ENERGY CENTER ST1,290,LZ_HOUSTON
140012,2020-10-15,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-08,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-09,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-10,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-11,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-12,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
140012,2020-10-13,WAT,1/1/2021 0:00,5/24/2019 0:00,DENISON DAM 2,44,LZ_RAYBN
170103,2020-10-15,SUB,10/25/2020 0:00,10/12/2020 0:00,FAYETTE POWER PROJECT 3,433,LZ_LCRA
170103,2020-10-13,SUB,10/25/2020 0:00,10/12/2020 0:00,FAYETTE POWER PROJECT 3,433,LZ_LCRA
120114,2020-10-15,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER GT4,161,LZ_NORTH
120114,2020-10-13,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER GT4,161,LZ_NORTH
