PSSE New BUS,SSWG Bus Name,SSWG kV,Weather Zone,Settlement Zone,Planning Bus Long Name,TSP,County,Utility EIA ID,Zip Code,Latitude,Longitude
1001,AROYA_8,138,WZ_FAR_WEST,LZ_WEST,AROYA_8,ONCOR,WARD,44372,79788,31.58118,-102.99117
1001,AROYA_8,138,WZ_FAR_WEST,LZ_WEST,AROYA_8,ONCOR,WARD,44372,79788,31.58118,-102.99117
1009,YUCCADR_8,138,WZ_FAR_WEST,LZ_WEST,PERMIANS_8,ONCOR,WARD,44372,79756,31.58479,-102.9627
1009,YUCCADR_8,138,WZ_FAR_WEST,LZ_WEST,PERMIANS_8,ONCOR,WARD,44372,79756,31.58479,-102.9627
1010,PERMIANB_8,138,WZ_FAR_WEST,LZ_WEST,PERMIANB_8,ONCOR,WARD,44372,79756,31.58445,-102.9626
1010,PERMIANB_8,138,WZ_FAR_WEST,LZ_WEST,PERMIANB_8,ONCOR,WARD,44372,79756,31.58445,-102.9626
1010,PERMIANB_8,138,WZ_FAR_WEST,LZ_WEST,PERMIANB_8,ONCOR,WARD,44372,79756,31.58397,-102.96021
1011,HORSHEADRW_8,138,WZ_FAR_WEST,LZ_WEST,MENTONE_SW_8,ONCOR,LOVING,,79772,31.509593,-103.517152
1013,WOLFSS_8,138,WZ_FAR_WEST,LZ_WEST,MONAHANS_8,ONCOR,WARD,44372,79756,31.58762,-102.955
1013,WOLFSS_8,138,WZ_FAR_WEST,LZ_WEST,MONAHANS_8,ONCOR,WARD,44372,79756,31.58762,-102.955
1018,MOSS_5,345,WZ_FAR_WEST,LZ_WEST,MOSS_5,ONCOR,ECTOR,44372,79763,31.81268,-102.4952
1019,MOSS_8,138,WZ_FAR_WEST,LZ_WEST,MOSS_8,ONCOR,ECTOR,44372,79763,31.81268,-102.4952
1019,MOSS_8,138,WZ_FAR_WEST,LZ_WEST,MOSS_8,ONCOR,ECTOR,44372,79763,31.81268,-102.4952
1019,MOSS_8,138,WZ_FAR_WEST,LZ_WEST,MOSS_8,ONCOR,ECTOR,44372,79763,31.81268,-102.4952
1019,MOSS_8,138,WZ_FAR_WEST,LZ_WEST,MOSS_8,ONCOR,ECTOR,44372,79763,31.81268,-102.4952
1020,ODEHV1T_5,345,WZ_FAR_WEST,LZ_WEST,ODEHV1T_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1026,ODEHV2T_5,345,WZ_FAR_WEST,LZ_WEST,ODEHV2T_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1027,ODESEHV_8,138,WZ_FAR_WEST,LZ_WEST,ODESEHV_8,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1028,ODEHVC_5,345,WZ_FAR_WEST,LZ_WEST,ODEHVC_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1028,ODEHVC_5,345,WZ_FAR_WEST,LZ_WEST,ODEHVC_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1029,ODEHVD_5,345,WZ_FAR_WEST,LZ_WEST,ODEHVD_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1029,ODEHVD_5,345,WZ_FAR_WEST,LZ_WEST,ODEHVD_5,ONCOR,ECTOR,44372,79766,31.83626,-102.3295
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1052,REXALL_8,138,WZ_FAR_WEST,LZ_WEST,REXALL_8,ONCOR,ECTOR,44372,79766,31.82736,-102.3271
1053,GENRUBR_8,138,WZ_FAR_WEST,LZ_WEST,GENRUBR_8,ONCOR,ECTOR,44372,79766,31.82598,-102.335
1053,GENRUBR_8,138,WZ_FAR_WEST,LZ_WEST,GENRUBR_8,ONCOR,ECTOR,44372,79766,31.82598,-102.335
1053,GENRUBR_8,138,WZ_FAR_WEST,LZ_WEST,GENRUBR_8,ONCOR,ECTOR,44372,79766,31.82598,-102.335
1053,GENRUBR_8,138,WZ_FAR_WEST,LZ_WEST,GENRUBR_8,ONCOR,ECTOR,44372,79766,31.82598,-102.335
1053,GENRUBR_8,138,WZ_FAR_WEST,LZ_WEST,GENRUBR_8,ONCOR,ECTOR,44372,79766,31.82598,-102.335
